1994	46627.9296	Clerk#000006832
1993	23798.304	Clerk#000005528
1993	22364.55	Clerk#000001681
1993	24990.714	Clerk#000008613
1994	30299.1696	Clerk#000007605
1993	13961.82	Clerk#000005098
1995	17182.5108	Clerk#000002030
1994	65471.868	Clerk#000007350
1993	13931.712	Clerk#000009543
1993	59728.896	Clerk#000007452
1994	41703.8784	Clerk#000009248
1994	7071.3666	Clerk#000008223
1993	13961.82	Clerk#000005098
1992	34212.0584	Clerk#000002087
1995	60635.7675	Clerk#000004708
1994	49701.8412	Clerk#000007241
1993	34152.0894	Clerk#000006020
1994	24574.878	Clerk#000005311
1993	52004.316	Clerk#000007763
1992	51677.2924	Clerk#000006425
1992	36216.45	Clerk#000001675
1994	29595.04	Clerk#000009938
1992	52456.278	Clerk#000007786
1994	14693.868	Clerk#000006998
1992	2942.036	Clerk#000004799
1993	46256.46	Clerk#000008633
1994	64120.5474	Clerk#000007789
1994	10419.068	Clerk#000002536
1995	10211.6556	Clerk#000006344
1992	58552.02	Clerk#000005506
1992	77467.3074	Clerk#000008859
1994	23729.79	Clerk#000001414
1993	51011.8656	Clerk#000003920
1993	63493.1206	Clerk#000001347
1993	7077.054	Clerk#000000818
1993	10597.536	Clerk#000003361
1993	15435.5	Clerk#000001543
1993	31501.1788	Clerk#000009543
1992	44148.9048	Clerk#000007172
1994	31372.4324	Clerk#000006727
1993	48348.3	Clerk#000000807
1992	2841.8248	Clerk#000004289
1993	52976.4612	Clerk#000002931
1994	28556.43	Clerk#000006812
1993	32277.0822	Clerk#000000648
1992	26075.5968	Clerk#000004173
1992	29174.69	Clerk#000002958
1993	33164.95	Clerk#000004086
1993	40175.6096	Clerk#000004871
1992	33607.3914	Clerk#000009364
1993	62240.29	Clerk#000002531
1994	37820.7753	Clerk#000001408
1992	55095.84	Clerk#000008290
1993	63456.12	Clerk#000005418
1992	15115.9041	Clerk#000007507
1994	2753.0784	Clerk#000006686
1993	12493.5921	Clerk#000003468
1995	15237.0504	Clerk#000004500
1992	51960.46	Clerk#000009532
1994	21824.7	Clerk#000003487
1993	61520.9308	Clerk#000003468
1993	4678.7595	Clerk#000004482
1992	81192.1474	Clerk#000003147
1994	34926.759	Clerk#000003477
1993	33164.95	Clerk#000004086
1994	32785.8642	Clerk#000006472
1993	13931.712	Clerk#000009543
1992	44274.72	Clerk#000000580
1994	21604.464	Clerk#000007989
1994	26076.6	Clerk#000009248
1993	58546.4832	Clerk#000004774
1994	10466	Clerk#000004480
1993	21764.232	Clerk#000001746
1993	60980.4162	Clerk#000006535
1994	28330.12	Clerk#000009724
1992	20930.1834	Clerk#000006282
1992	41114.0544	Clerk#000006515
1992	4908.2488	Clerk#000007110
1994	34249.824	Clerk#000003213
1994	4702.2948	Clerk#000000891
1993	22019.58	Clerk#000002661
1993	43261.3755	Clerk#000005616
1992	47323.236	Clerk#000008300
1994	37257.3136	Clerk#000007642
1994	19114.95	Clerk#000006440
1994	75782.9184	Clerk#000006415
1992	44274.72	Clerk#000000580
1992	59209.5372	Clerk#000002409
1993	18666.05	Clerk#000006847
1994	26076.6	Clerk#000009248
1992	3021.6858	Clerk#000003677
1993	39299.9712	Clerk#000005292
1992	45969.088	Clerk#000001573
1995	24458.4648	Clerk#000004772
1992	63066.32	Clerk#000000580
1992	62526.1728	Clerk#000008903
1992	33686.8532	Clerk#000004473
1994	42206.315	Clerk#000006603
1994	17926.279	Clerk#000000815
1994	45940.573	Clerk#000000894
1993	54954.9792	Clerk#000000800
1992	1266.14	Clerk#000001282
1992	74639.7	Clerk#000002475
1992	11429.298	Clerk#000003842
1992	3440.7102	Clerk#000008437
1993	76423.83	Clerk#000000031
1994	51548.1148	Clerk#000000723
1993	33164.95	Clerk#000004086
1992	33361.2552	Clerk#000009063
1994	6149.9424	Clerk#000006677
1993	9210.4038	Clerk#000005331
1992	7699.005	Clerk#000000300
1993	29190.096	Clerk#000003217
1993	34332.8076	Clerk#000003565
1993	31501.1788	Clerk#000009543
1993	31501.1788	Clerk#000009543
1993	20872.8338	Clerk#000008334
1995	959.0496	Clerk#000009820
1992	65787.9488	Clerk#000004135
1992	61671.92	Clerk#000008044
1995	19106.55	Clerk#000007248
1993	17825.99	Clerk#000007580
1992	44547.7914	Clerk#000009708
1993	76423.83	Clerk#000000031
1993	31501.1788	Clerk#000009543
1994	41703.8784	Clerk#000009248
1993	39447.5208	Clerk#000009872
1992	2856.5628	Clerk#000005664
1994	34249.824	Clerk#000003213
1993	26890.738	Clerk#000004253
1993	63629.4096	Clerk#000004484
1994	36550.0416	Clerk#000005547
1993	13931.712	Clerk#000009543
1993	8634.915	Clerk#000003589
1993	43261.3755	Clerk#000005616
1993	38881.458	Clerk#000005241
1994	14343.576	Clerk#000000896
1992	44274.72	Clerk#000000580
1992	69606.504	Clerk#000007095
1993	49660.7408	Clerk#000006698
1994	32961.3	Clerk#000006661
1993	25036.416	Clerk#000002770
1994	21608.0013	Clerk#000006881
